Title,No. of Signatures,Location,Starting Date,Link
Improve Bike-parking infrastructure and safety at Cambridge Train Station,406 signatures,"Cambridge, United Kingdom","Started October 21, 2020",www.change.org/p/mayor-cambridge-gov-uk-improve-bike-parking-infrastructure-and-safety-at-cambridge-train-station?source_location=search
Bygge av Bikepark i Täby!,284 signatures,Sweden,"Started October 27, 2021",www.change.org/p/t%C3%A4by-kommun-bygge-av-bikepark-i-t%C3%A4by?source_location=search
Create a bikepark in Bucegi mountains,261 signatures,Romania,"Started May 6, 2023",www.change.org/p/create-a-bikepark-in-bucegi-mountains?source_location=search
Petitie pentru a face un bikepark in Targoviste,163 signatures,Romania,"Started August 20, 2023",www.change.org/p/petitie-pentru-a-face-un-bikepark-in-targoviste?source_location=search
Help Wombourne build a pumptrack to benefit the opportunities and health of everyone,245 signatures,"Wombourne, United Kingdom","Started November 14, 2024",www.change.org/p/help-wombourne-build-a-pumptrack-to-benefit-the-opportunities-and-health-of-everyone?source_location=search
"'Penang Riverside Library' & 'Penang Bicycle Park' @ Jalan Sungai Ara 1, Bayan Lepas","1,345 signatures",Malaysia,"Started December 1, 2018",www.change.org/p/penang-state-government-local-neighborhood-strongly-proposed-penang-riverside-library-by-using-recycling-containers-penang-bike-park-riverside-of-jalan-sungai-ara-1-bayan-lepas?source_location=search
Fix the step up bro,7 signatures,Canada,"Started July 10, 2021",www.change.org/p/silverstar-bikepark-fix-the-step-up-bro?source_location=search
