Title,No. of Signatures,Location,Starting Date,Link
Save Dave Elton Skatepark from Demolition,868 signatures,"Lethbridge, Canada","Started June 18, 2025",www.change.org/p/save-dave-elton-skatepark-from-demolition?source_location=search
"Build a Skatepark in Montpelier, IN",369 signatures,"Montpelier, United States","Started June 8, 2025",www.change.org/p/build-a-skatepark-in-montpelier-in?source_location=search
Help Jasper get a skatepark,103 signatures,United States,"Started April 11, 2023",www.change.org/p/help-jasper-get-a-skatepark?source_location=search
Saving the skatepark at Poe Mill Site,"4,359 signatures",United States,"Started July 19, 2020",www.change.org/p/greenville-county-council-saving-the-skatepark-at-poe-mill-site?source_location=search
Construction of a new concrete skatepark in Big Bear Valley,"4,125 signatures","Big Bear, United States","Started August 24, 2019",www.change.org/p/community-of-big-bear-valley-construction-of-new-concrete-skatepark-in-big-bear-valley?source_location=search
Install Arena Lighting at Pedlow Field Skatepark,"2,022 signatures",United States,"Started September 25, 2023",www.change.org/p/install-arena-lighting-at-pedlow-field-skatepark?source_location=search
Expand and Improve the Wahiawa Skatepark for Our Youth,"1,621 signatures","Wahiawa, United States","Started March 20, 2024",www.change.org/p/expand-and-improve-the-wahiawa-skatepark-for-our-youth?source_location=search
Save Feral Cat Cove Community Built Skatepark,"1,343 signatures","Portland, United States","Started December 13, 2024",www.change.org/p/save-feral-cat-cove-community-built-skatepark?source_location=search
Support the installation of lights at Roberts Skatepark Omaha Nebraska,"1,235 signatures","Omaha, United States","Started September 30, 2020",www.change.org/p/support-the-installation-of-lights-at-roberts-skatepark-omaha-nebraska?source_location=search
Evening Security and surveillance at Legacy Skatepark,"1,074 signatures",Canada,"Started April 8, 2021",www.change.org/p/legacy-ridge-evening-security-and-legacy-skatepark?source_location=search
Prioritize Funding for the Marietta Skatepark,988 signatures,"Marietta, United States","Started March 18, 2022",www.change.org/p/prioritize-funding-for-the-marietta-skatepark?source_location=search
OPEN LOCAL SKATEPARK IN BANGOR COUNTY DOWN NORTHERN IRELAND,916 signatures,United Kingdom,"Started April 27, 2020",www.change.org/p/stephen-reid-open-local-skatepark-in-bangor-county-down-northern-ireland?source_location=search
